12,5,12,9,14,15,17,14,6,8,15,15,9,11
18,4,7,11,12,5,12,15,6,8,10,5,12,16
14,14,14,7,6,24,14,24,12,20,22,22,6,2
7,0,-3,6,2,23,5,23,23,0,9,17,-1,-1
2,-1,7,22,7,12,23,-8,-2,-5,4,24,-2,23
2,-2,12,3,13,17,-7,0,19,5,21,4,-1,14
-1,-6,7,-1,-8,10,2,8,12,-6,-8,8,0,0
3,5,4,3,-3,6,9,4,9,10,2,1,-1,3
21,4,9,8,18,14,20,14,-2,6,15,6,-3,20
15,8,11,14,-3,0,14,5,1,2,8,2,11,6
1,-6,-1,4,0,2,3,-5,-5,-2,3,-5,-1,-4
7,-3,-10,5,6,-10,6,-5,-8,-9,-11,6,-11,5
-3,-2,-1,4,-6,5,5,-4,-1,-4,0,-5,1,5
-4,16,-6,10,1,3,4,3,13,13,2,16,12,12
2,11,-2,5,12,15,-9,10,6,-4,-1,-8,13,-5
-6,8,7,4,-4,-4,-2,1,-3,9,-7,2,4,0
-2,0,-8,-2,-5,-3,-8,-3,-5,-3,0,-3,-8,-8
-7,5,-4,-7,-3,-5,14,7,-3,6,13,-9,1,9
-1,6,-8,6,6,-1,-7,-1,-3,-9,-4,-2,-1,-6
-8,0,-1,-7,-1,-15,-14,-10,-6,-4,-17,-13,-11,-10
-5,-1,-2,-4,-8,-8,-9,-1,0,-3,-8,-4,2,-8
5,-3,-11,-10,-6,-11,-9,7,-18,9,0,-18,5,9
-7,-17,0,-13,-19,-10,-17,-16,-5,-1,-14,-8,-13,-17
-15,-14,-8,-10,-11,-9,-13,-18,-11,-10,-15,-6,-5,-7
-7,-5,-6,-15,-6,-7,-7,-11,-10,-5,-6,-18,-13,-2
-9,-20,-14,0,-14,-12,-18,-19,-19,-4,-14,-12,1,-1
-3,-4,0,-1,-13,2,-9,-13,5,4,-14,-13,-5,-14
-11,-10,-17,-7,-16,-4,-14,-11,-5,-4,-14,-8,-10,-9
-7,-7,-6,-4,-7,1,-15,-6,-10,-2,-14,-6,-1,-1
-4,-9,-6,-9,-5,-10,-7,-7,-14,-13,-6,-7,-13,-14
-13,-3,-20,-12,-20,1,0,-19,-1,-3,-20,-9,-17,1
-6,-14,-18,-5,0,-9,-14,-5,-18,-8,-12,-14,0,-5
-21,-14,-11,-1,-5,-15,-9,0,-2,-4,-1,-1,-14,-3
4,0,5,-15,2,-11,-6,-1,-7,-14,6,-2,-6,3
-4,-6,1,-13,-7,-5,-19,-13,-6,-13,-8,-20,-16,0
-15,-9,-23,-11,-15,-10,-5,-19,-21,-24,-13,-15,-12,-21
-7,-6,-6,0,4,-5,-2,-13,-1,-8,4,-1,3,-6
-4,2,5,-9,-6,-14,-3,-11,1,-1,-12,-6,-9,5
-7,0,-5,-1,-13,-10,-11,-1,-12,-9,-13,-8,-15,-8
-11,-6,-7,-12,-15,-19,-8,-18,-10,-9,-18,-20,-16,-8
-15,-5,-12,-7,-9,-20,-11,-10,-8,-10,-5,-5,-12,-6
-14,-18,-2,-15,-10,-3,-5,-18,-20,-5,-12,-15,-20,-8
-13,9,2,5,8,-8,-10,-10,-1,3,2,-16,-15,-8
-4,-6,-6,-9,-8,0,-5,-5,-3,-12,-8,-12,-7,-10
-8,-13,-15,-17,-3,-12,-7,-16,-5,-13,-11,-16,-7,-16
-10,-10,-2,-10,-3,-12,-6,-16,-8,0,1,-4,-10,-11
-9,-10,-7,-11,-2,-17,-15,-2,-10,-2,-6,-9,-1,-15
-17,-3,-17,-8,-12,-14,-2,2,-3,3,-1,0,-14,-18
-3,-5,3,-7,2,-6,-11,1,-6,3,8,-8,8,0
1,-5,-10,-17,-1,-16,-10,-6,-12,7,-12,0,-10,7
-2,1,-2,-8,-12,-4,-7,-2,-3,-3,0,-7,-11,-8
