12,5,12,9,14,15,17,14,6
18,4,7,11,12,5,12,15,6
14,14,14,7,6,24,14,24,12
7,0,-3,6,2,23,5,23,23
2,-1,7,22,7,12,23,-8,-2
2,-2,12,3,13,17,-7,0,19
-1,-6,7,-1,-8,10,2,8,12
3,5,4,3,-3,6,9,4,9
21,4,9,8,18,14,20,14,-2
15,8,11,14,-3,0,14,5,1
1,-6,-1,4,0,2,3,-5,-5
7,-3,-10,5,6,-10,6,-5,-8
-3,-2,-1,4,-6,5,5,-4,-1
-4,16,-6,10,1,3,4,3,13
2,11,-2,5,12,15,-9,10,6
-6,8,7,4,-4,-4,-2,1,-3
-2,0,-8,-2,-5,-3,-8,-3,-5
-7,5,-4,-7,-3,-5,14,7,-3
-1,6,-8,6,6,-1,-7,-1,-3
-8,0,-1,-7,-1,-15,-14,-10,-6
-5,-1,-2,-4,-8,-8,-9,-1,0
5,-3,-11,-10,-6,-11,-9,7,-18
-7,-17,0,-13,-19,-10,-17,-16,-5
-15,-14,-8,-10,-11,-9,-13,-18,-11
-7,-5,-6,-15,-6,-7,-7,-11,-10
-9,-20,-14,0,-14,-12,-18,-19,-19
-3,-4,0,-1,-13,2,-9,-13,5
-11,-10,-17,-7,-16,-4,-14,-11,-5
-7,-7,-6,-4,-7,1,-15,-6,-10
-4,-9,-6,-9,-5,-10,-7,-7,-14
-13,-3,-20,-12,-20,1,0,-19,-1
-6,-14,-18,-5,0,-9,-14,-5,-18
-21,-14,-11,-1,-5,-15,-9,0,-2
4,0,5,-15,2,-11,-6,-1,-7
-4,-6,1,-13,-7,-5,-19,-13,-6
-15,-9,-23,-11,-15,-10,-5,-19,-21
-7,-6,-6,0,4,-5,-2,-13,-1
-4,2,5,-9,-6,-14,-3,-11,1
-7,0,-5,-1,-13,-10,-11,-1,-12
-11,-6,-7,-12,-15,-19,-8,-18,-10
-15,-5,-12,-7,-9,-20,-11,-10,-8
-14,-18,-2,-15,-10,-3,-5,-18,-20
-13,9,2,5,8,-8,-10,-10,-1
-4,-6,-6,-9,-8,0,-5,-5,-3
-8,-13,-15,-17,-3,-12,-7,-16,-5
-10,-10,-2,-10,-3,-12,-6,-16,-8
-9,-10,-7,-11,-2,-17,-15,-2,-10
-17,-3,-17,-8,-12,-14,-2,2,-3
-3,-5,3,-7,2,-6,-11,1,-6
1,-5,-10,-17,-1,-16,-10,-6,-12
-2,1,-2,-8,-12,-4,-7,-2,-3
-9,-9,-3,-11,-3,0,-8,-7,-6
14,-12,-6,4,1,-14,0,10,13
-13,-12,8,5,0,-13,9,7,-13
-5,-7,-7,3,-5,-8,-5,-8,6
2,3,-2,1,-2,-3,-7,0,3
-2,-5,7,-7,-7,5,8,-5,6
3,10,0,6,1,7,1,4,-1
4,-5,2,13,13,10,16,-5,-4
6,-2,-6,-2,-4,-2,5,6,-2
-2,13,16,-3,16,19,15,-4,16
0,-3,7,-7,-1,2,4,6,3
-8,21,11,3,-4,19,-5,9,14
23,1,4,15,15,19,6,12,11
7,12,1,4,1,2,4,3,-5
3,15,7,6,12,9,11,14,13
10,5,7,13,15,12,4,15,7
9,5,12,8,14,5,14,11,12
1,5,6,7,10,13,2,2,14
5,6,5,24,10,8,11,21,21
11,2,25,24,22,24,6,5,21
8,22,10,4,23,19,6,3,15
19,22,20,20,7,17,14,12,15
27,14,27,23,23,12,19,26,14
10,13,10,22,24,28,3,6,18
12,23,11,10,16,17,13,21,18
31,11,23,25,14,11,8,16,10
25,30,26,27,18,25,22,14,19
31,25,16,17,20,30,14,10,18
25,27,19,18,31,15,17,17,33
14,24,29,28,25,14,9,28,28
21,32,31,26,20,20,20,20,25
37,29,30,28,36,8,10,33,37
35,16,29,31,19,23,33,39,12
33,31,19,43,23,15,36,26,23
30,17,35,23,13,26,37,30,31
24,21,28,29,31,24,33,33,32
